car_reg,purchase_date,year,month,county,make,model,type,colour,tax_band,price
191-G-3236,2019-06-01,2019,1,GALWAY,TOYOTA,YARIS,HATCHBACK,RED,A,16804.0
181-C-4184,2018-02-23,2018,2,GALWAY,FORD,FIESTA,HATCHBACK,BLUE,A,27612.0
201-D-1136,2020-01-24,2020,1,GALWAY,OPEL,ASTRA,ESTATE,SILVER,B,28908.0
181-L-4113,2018-04-27,2018,4,LIMERICK,FORD,MUSTANG,COUPE,WHITE,C,49954.0
191-C-2954,2019-01-16,2019,1,GALWAY,MERCEDES,C-CLASS,SALOON,WHITE,B,95202.0
182-D-2463,2018-07-20,2018,7,DUBLIN,MAZDA,CX-5,SUV,SILVER,B,34724.0
192-W-3525,2019-07-19,2019,7,WATERFORD,TOYOTA,COROLLA,SALOON,RED,B,31321.0
191-D-358,2019-05-24,2019,5,DUBLIN,AUDI,Q3,SUV,WHITE,B,48068.0
202-D-4454,2019-12-07,2019,7,DUBLIN,FORD,MONDEO,SALOON,WHITE,B,40246.0
182-D-2695,2018-07-15,2018,7,GALWAY,FORD,MONDEO,HATCHBACK,WHITE,B,35809.0
191-D-2113,2019-03-03,2019,3,GALWAY,OPEL,GRANDLAND X,SUV,RED,B,51591.0
202-C-4850,2020-07-17,2020,7,GALWAY,FORD,MONDEO,HATCHBACK,WHITE,B,31279.0
191-G-1646,2019-03-18,2019,3,GALWAY,FORD,FOCUS,HATCHBACK,RED,A,43242.0
202-C-1153,2020-07-17,2020,7,CORK,MAZDA,CX-30,SUV,WHITE,B,33077.0
192-G-230,2019-07-22,2019,7,GALWAY,BMW,3 SERIES,SALOON,BLUE,B,49099.0
181-G-4545,2018-01-24,2018,1,GALWAY,FORD,FIESTA,HATCHBACK,RED,A,23413.0
191-D-3825,2019-04-15,2019,4,GALWAY,FORD,FOCUS,HATCHBACK,BLUE,A,30999.0
201-L-62,2020-01-19,2020,1,LIMERICK,FORD,MONDEO,SALOON,BLUE,B,40789.0
191-G-279,2019-04-03,2019,3,GALWAY,MERCEDES,C-CLASS,SALOON,RED,B,87732.0
202-W-1173,2020-07-15,2020,7,WATERFORD,OPEL,CROSSLAND X,SUV,BLUE,A,24551.0
191-W-266,2019-02-25,2019,2,GALWAY,MERCEDES,C-CLASS,ESTATE,RED,B,120638.0
201-D-4645,2020-01-27,2020,1,DUBLIN,TOYOTA,YARIS,HATCHBACK,WHITE,A,18635.0
201-D-62,2020-09-01,2020,1,DUBLIN,AUDI,A4,SALOON,SILVER,B,52925.0
201-D-1745,2018-02-17,2018,2,DUBLIN,TOYOTA,COROLLA,HATCHBACK,WHITE,B,32680.0
191-L-1549,2019-02-01,2019,1,GALWAY,FORD,KUGA,SUV,WHITE,B,43534.0
201-L-4070,2020-02-23,2020,2,LIMERICK,TOYOTA,COROLLA,SALOON,RED,B,28358.0
182-D-288,2018-07-27,2018,7,GALWAY,BMW,3 SERIES,SALOON,RED,B,46996.0
181-G-643,2018-03-01,2018,1,GALWAY,FORD,FIESTA,HATCHBACK,BLUE,A,20664.0
181-C-2794,2018-02-18,2018,2,CORK,BMW,X3,SUV,BLUE,C,120876.0
182-D-2290,2018-06-07,2018,7,DUBLIN,MAZDA,MAZDA3,SALOON,WHITE,B,30623.0
201-G-531,2020-02-04,2020,4,GALWAY,MAZDA,CX-5,SUV,WHITE,B,45326.0
201-D-4019,2018-01-27,2018,1,DUBLIN,AUDI,A6,ESTATE,SILVER,C,67369.0
182-C-835,2018-07-27,2018,7,CORK,FORD,KUGA,SUV,WHITE,B,44690.0
202-D-4426,2020-07-21,2020,7,DUBLIN,BMW,3 SERIES,SALOON,WHITE,B,71346.0
201-L-2726,2020-01-03,2020,3,LIMERICK,MAZDA,MAZDA3,SALOON,WHITE,B,31549.0
202-D-2517,2020-07-20,2020,7,DUBLIN,MERCEDES,GLC-CLASS,SUV,RED,C,92870.0
201-G-2552,2020-04-03,2020,3,GALWAY,MAZDA,CX-30,SUV,SILVER,B,36655.0
201-L-3703,2020-09-02,2020,2,LIMERICK,TOYOTA,COROLLA,HATCHBACK,BLUE,B,32068.0
181-G-604,2018-02-24,2018,2,GALWAY,BMW,2 SERIES,COUPE,BLUE,B,38450.0
191-C-2129,2019-04-27,2019,4,GALWAY,BMW,3 SERIES,SALOON,SILVER,B,51060.0
201-L-201,2020-11-03,2020,3,LIMERICK,FORD,MONDEO,SALOON,SILVER,B,38012.0
181-G-2972,2018-06-03,2018,3,GALWAY,FORD,FOCUS,HATCHBACK,SILVER,A,27467.0
181-D-4794,2018-01-20,2018,1,DUBLIN,MAZDA,MAZDA6,ESTATE,WHITE,B,43519.0
201-D-2014,2020-01-13,2020,1,DUBLIN,AUDI,A4,SALOON,BLUE,B,49433.0
192-L-185,2019-07-14,2019,7,LIMERICK,MERCEDES,C-CLASS,SALOON,BLUE,B,86531.0
201-L-4942,2020-02-21,2020,2,GALWAY,BMW,2 SERIES,COUPE,BLUE,B,46334.0
181-W-2523,2018-02-01,2018,1,GALWAY,FORD,MONDEO,SALOON,WHITE,B,39398.0
202-G-4916,2020-07-20,2020,7,GALWAY,MERCEDES,GLC-CLASS,SUV,WHITE,C,79840.0
202-L-4810,2018-08-10,2018,10,LIMERICK,OPEL,CORSA,HATCHBACK,BLUE,A,24008.0
201-W-602,2020-03-20,2020,3,WATERFORD,OPEL,CORSA,HATCHBACK,BLUE,A,20325.0
201-D-4710,2018-03-15,2018,3,DUBLIN,BMW,7 SERIES,SALOON,BLUE,D,224466.0
201-D-4049,2019-01-13,2019,1,DUBLIN,OPEL,CORSA,HATCHBACK,BLUE,A,17673.0
201-D-4938,2020-03-01,2020,1,GALWAY,TOYOTA,RAV4,SUV,ORANGE,B,40160.0
202-G-4011,2019-12-07,2019,7,GALWAY,OPEL,CORSA,HATCHBACK,WHITE,A,17636.0
201-D-954,2020-04-19,2020,4,DUBLIN,MAZDA,MAZDA3,SALOON,WHITE,B,37544.0
191-C-3060,2019-03-23,2019,3,CORK,OPEL,ASTRA,ESTATE,BLUE,B,26989.0
192-C-434,2019-07-24,2019,7,CORK,FORD,MONDEO,SALOON,WHITE,B,34577.0
181-D-1676,2018-01-22,2018,1,GALWAY,AUDI,A4,SALOON,RED,B,56746.0
192-L-4943,2019-07-20,2019,7,LIMERICK,OPEL,ASTRA,ESTATE,SILVER,B,25229.0
181-D-2482,2018-03-25,2018,3,DUBLIN,MAZDA,MAZDA3,SALOON,ORANGE,B,36822.0
191-D-3806,2019-12-01,2019,1,GALWAY,TOYOTA,COROLLA,SALOON,RED,B,28128.0
182-C-2841,2018-04-07,2018,7,GALWAY,TOYOTA,RAV4,SUV,SILVER,B,46276.0
202-D-1150,2020-07-16,2020,7,GALWAY,AUDI,A6,SALOON,RED,C,83879.0
201-L-3610,2020-03-19,2020,3,LIMERICK,MAZDA,MAZDA3,SALOON,WHITE,B,32667.0
201-D-3932,2020-01-20,2020,1,DUBLIN,TOYOTA,COROLLA,SALOON,WHITE,B,29983.0
191-D-3898,2019-05-25,2019,5,DUBLIN,MAZDA,MAZDA3,HATCHBACK,SILVER,B,31954.0
201-L-4405,2020-12-01,2020,1,GALWAY,TOYOTA,COROLLA,HATCHBACK,RED,B,33803.0
201-W-4176,2020-01-25,2020,1,WATERFORD,BMW,3 SERIES,ESTATE,SILVER,B,55019.0
181-C-1306,2018-02-23,2018,2,GALWAY,FORD,MONDEO,SALOON,BLUE,B,39252.0
202-G-1321,2020-10-19,2020,10,GALWAY,FORD,MONDEO,HATCHBACK,SILVER,B,35307.0
202-C-247,2018-08-16,2018,8,CORK,OPEL,CROSSLAND X,SUV,WHITE,A,22140.0
192-D-3165,2019-03-07,2019,7,GALWAY,MAZDA,MAZDA3,HATCHBACK,RED,B,35354.0
191-W-3955,2019-10-02,2019,2,WATERFORD,MAZDA,MAZDA3,SALOON,BLUE,B,30687.0
182-C-560,2018-10-18,2018,10,CORK,MERCEDES,C-CLASS,SALOON,WHITE,B,97128.0
191-G-1379,2019-03-25,2019,3,GALWAY,MAZDA,MAZDA3,HATCHBACK,BLUE,B,32492.0
191-D-2054,2019-06-03,2019,3,DUBLIN,BMW,2 SERIES,COUPE,WHITE,B,44802.0
192-C-3925,2019-09-18,2019,9,CORK,MERCEDES,C-CLASS,SALOON,ORANGE,B,114171.0
181-C-914,2018-04-19,2018,4,GALWAY,AUDI,A6,ESTATE,RED,C,93493.0
181-W-1669,2018-11-02,2018,2,GALWAY,FORD,FOCUS,HATCHBACK,BLUE,A,31031.0
201-D-4807,2018-01-21,2018,1,DUBLIN,FORD,FIESTA,HATCHBACK,RED,A,20445.0
192-W-2894,2019-11-07,2019,7,GALWAY,TOYOTA,CAMERY,SALOON,RED,B,40255.0
201-L-102,2020-02-13,2020,2,GALWAY,AUDI,A4,ESTATE,WHITE,B,49169.0
201-D-3310,2019-01-22,2019,1,DUBLIN,OPEL,ASTRA,HATCHBACK,WHITE,A,32641.0
202-W-4697,2020-07-26,2020,7,WATERFORD,AUDI,Q3,SUV,ORANGE,B,48254.0
201-W-1226,2020-08-02,2020,2,GALWAY,MERCEDES,A-CLASS,HATCHBACK,SILVER,B,45658.0
191-D-1892,2019-12-03,2019,3,DUBLIN,MAZDA,CX-5,SUV,BLUE,B,42915.0
192-D-282,2019-07-23,2019,7,DUBLIN,TOYOTA,PRIUS,HATCHBACK,BLUE,B,36519.0
201-D-2362,2018-04-15,2018,4,DUBLIN,OPEL,ASTRA,ESTATE,WHITE,B,25227.0
202-D-3943,2020-07-25,2020,7,DUBLIN,MAZDA,CX-30,SUV,WHITE,B,43809.0
181-C-1720,2018-01-26,2018,1,GALWAY,TOYOTA,COROLLA,HATCHBACK,WHITE,B,29374.0
192-D-4968,2019-10-19,2019,10,DUBLIN,MERCEDES,C-CLASS,ESTATE,WHITE,B,56872.0
201-G-4179,2019-08-01,2019,1,GALWAY,FORD,FOCUS,ESTATE,WHITE,A,24519.0
191-D-497,2019-02-22,2019,2,DUBLIN,TOYOTA,YARIS,HATCHBACK,BLUE,A,18071.0
201-L-3704,2020-12-02,2020,2,GALWAY,OPEL,ASTRA,HATCHBACK,SILVER,A,30599.0
202-D-478,2020-08-07,2020,7,GALWAY,TOYOTA,COROLLA,SALOON,RED,B,29937.0
202-W-2279,2020-08-18,2020,8,GALWAY,AUDI,A4,SALOON,BLUE,B,48311.0
202-L-1958,2018-03-07,2018,7,LIMERICK,OPEL,INSIGNIA,HATCHBACK,WHITE,B,37349.0
202-D-3073,2020-07-16,2020,7,DUBLIN,TOYOTA,COROLLA,HATCHBACK,WHITE,B,32432.0
191-D-1201,2019-02-02,2019,2,GALWAY,BMW,2 SERIES,COUPE,ORANGE,B,68161.0
201-C-2546,2020-01-23,2020,1,GALWAY,TOYOTA,PRIUS,HATCHBACK,RED,B,35786.0
192-L-3015,2019-10-07,2019,7,GALWAY,MAZDA,MAZDA6,SALOON,WHITE,B,44221.0
182-G-4410,2018-03-07,2018,7,GALWAY,TOYOTA,RAV4,SUV,RED,B,39735.0
182-G-1083,2018-07-09,2018,9,GALWAY,MERCEDES,C-CLASS,SALOON,RED,B,118230.0
202-W-4745,2020-09-24,2020,9,GALWAY,TOYOTA,CAMERY,SALOON,WHITE,B,41539.0
181-C-1119,2018-07-02,2018,2,GALWAY,BMW,2 SERIES,COUPE,RED,B,117248.0
181-W-3745,2018-03-16,2018,3,WATERFORD,MAZDA,CX-30,SUV,SILVER,B,33050.0
201-L-3521,2020-11-05,2020,5,LIMERICK,MAZDA,MAZDA3,SALOON,WHITE,B,33988.0
181-D-4228,2018-03-03,2018,3,DUBLIN,MERCEDES,C-CLASS,SALOON,WHITE,B,52820.0
201-W-2898,2018-05-17,2018,5,WATERFORD,FORD,MONDEO,HATCHBACK,WHITE,B,35427.0
201-G-368,2019-07-04,2019,4,GALWAY,TOYOTA,COROLLA,HATCHBACK,RED,B,29615.0
201-G-3910,2020-01-20,2020,1,GALWAY,MAZDA,MAZDA6,SALOON,WHITE,B,46168.0
202-G-3161,2020-07-26,2020,7,GALWAY,BMW,X3,SUV,SILVER,C,73853.0
201-C-4772,2020-01-20,2020,1,GALWAY,BMW,3 SERIES,ESTATE,WHITE,B,60401.0
201-C-4518,2020-04-02,2020,2,GALWAY,BMW,3 SERIES,ESTATE,RED,B,65613.0
191-D-1565,2019-03-24,2019,3,DUBLIN,FORD,FIESTA,HATCHBACK,WHITE,A,29487.0
201-W-4523,2019-03-15,2019,3,WATERFORD,BMW,7 SERIES,SALOON,WHITE,D,172706.0
201-W-1237,2020-01-04,2020,4,WATERFORD,OPEL,ASTRA,ESTATE,SILVER,B,26439.0
181-D-4768,2018-01-21,2018,1,GALWAY,MAZDA,MAZDA6,SALOON,RED,B,45726.0
202-W-791,2018-07-23,2018,7,WATERFORD,TOYOTA,PRIUS,HATCHBACK,WHITE,B,36133.0
182-D-3901,2018-07-14,2018,7,GALWAY,AUDI,A4,ESTATE,SILVER,B,48017.0
201-G-4007,2020-09-01,2020,1,GALWAY,OPEL,ASTRA,HATCHBACK,WHITE,A,25625.0
201-L-1209,2020-01-15,2020,1,LIMERICK,OPEL,INSIGNIA,HATCHBACK,WHITE,B,36497.0
191-G-1127,2019-03-21,2019,3,GALWAY,MAZDA,CX-5,SUV,BLUE,B,33206.0
191-L-753,2019-11-02,2019,2,GALWAY,MERCEDES,A-CLASS,HATCHBACK,SILVER,B,32244.0
182-D-4132,2018-04-07,2018,7,DUBLIN,AUDI,A4,ESTATE,ORANGE,B,42576.0
201-L-113,2019-10-05,2019,5,LIMERICK,MAZDA,MAZDA6,SALOON,BLUE,B,33878.0
181-D-3805,2018-03-01,2018,1,GALWAY,MAZDA,CX-30,SUV,WHITE,B,31337.0
201-G-1207,2020-01-22,2020,1,GALWAY,BMW,2 SERIES,COUPE,SILVER,B,101125.0
201-D-2360,2020-02-21,2020,2,DUBLIN,FORD,KUGA,SUV,RED,B,35973.0
181-W-598,2018-01-19,2018,1,WATERFORD,TOYOTA,YARIS,HATCHBACK,SILVER,A,18340.0
191-G-1791,2019-02-03,2019,3,GALWAY,AUDI,Q3,SUV,BLUE,B,50502.0
181-L-2560,2018-05-01,2018,1,LIMERICK,MAZDA,MAZDA3,HATCHBACK,SILVER,B,28436.0
192-D-825,2019-04-07,2019,7,GALWAY,OPEL,ASTRA,HATCHBACK,SILVER,A,26597.0
181-D-3284,2018-02-20,2018,2,DUBLIN,OPEL,ASTRA,ESTATE,WHITE,B,26084.0
191-C-4100,2019-02-20,2019,2,CORK,OPEL,GRANDLAND X,SUV,WHITE,B,32699.0
182-G-3665,2018-08-26,2018,8,GALWAY,MAZDA,MAZDA6,SALOON,RED,B,35830.0
192-L-2546,2019-10-14,2019,10,LIMERICK,AUDI,Q3,SUV,SILVER,B,51518.0
192-D-2597,2019-07-24,2019,7,DUBLIN,FORD,FOCUS,HATCHBACK,RED,A,34274.0
192-L-1113,2019-07-07,2019,7,LIMERICK,OPEL,CORSA,HATCHBACK,ORANGE,A,19574.0
191-D-1678,2019-11-02,2019,2,GALWAY,AUDI,A6,SALOON,RED,C,52506.0
201-D-1959,2019-01-16,2019,1,DUBLIN,MAZDA,MAZDA6,ESTATE,WHITE,B,40874.0
201-D-2317,2020-04-14,2020,4,DUBLIN,OPEL,GRANDLAND X,SUV,BLUE,B,33888.0
182-D-2121,2018-10-21,2018,10,DUBLIN,FORD,FOCUS,ESTATE,WHITE,A,30753.0
191-D-4674,2019-07-01,2019,1,DUBLIN,AUDI,A4,SALOON,SILVER,B,50645.0
202-C-3155,2020-07-22,2020,7,GALWAY,MERCEDES,A-CLASS,SALOON,WHITE,B,54012.0
202-L-3703,2020-07-17,2020,7,LIMERICK,BMW,X3,SUV,RED,C,117143.0
201-D-2766,2020-11-02,2020,2,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,WHITE,B,61723.0
202-D-2436,2019-04-07,2019,7,DUBLIN,AUDI,Q7,SUV,BLUE,D,89090.0
181-C-2088,2018-12-01,2018,1,CORK,MAZDA,MAZDA6,ESTATE,WHITE,B,37623.0
201-C-2559,2020-07-02,2020,2,CORK,OPEL,GRANDLAND X,SUV,BLUE,B,33024.0
201-L-2217,2018-01-25,2018,1,LIMERICK,BMW,3 SERIES,ESTATE,WHITE,B,47305.0
181-G-3507,2018-02-23,2018,2,GALWAY,MAZDA,CX-5,SUV,WHITE,B,50881.0
202-W-1130,2020-11-07,2020,7,GALWAY,MAZDA,CX-30,SUV,BLUE,B,37385.0
201-D-490,2019-03-18,2019,3,DUBLIN,FORD,FOCUS,HATCHBACK,WHITE,A,32449.0
191-C-4101,2019-12-02,2019,2,CORK,FORD,MUSTANG,COUPE,WHITE,C,72002.0
181-C-1753,2018-01-17,2018,1,GALWAY,MAZDA,CX-30,SUV,RED,B,36730.0
181-D-1155,2018-01-14,2018,1,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,BLUE,B,49054.0
191-W-1631,2019-10-01,2019,1,GALWAY,BMW,2 SERIES,COUPE,SILVER,B,42168.0
191-C-1522,2019-09-02,2019,2,CORK,MAZDA,MAZDA6,ESTATE,BLUE,B,37655.0
201-L-4655,2020-01-15,2020,1,LIMERICK,FORD,FOCUS,HATCHBACK,BLUE,A,36907.0
181-C-3038,2018-01-13,2018,1,CORK,FORD,FOCUS,ESTATE,WHITE,A,42869.0
201-D-810,2020-02-18,2020,2,GALWAY,MAZDA,MAZDA3,HATCHBACK,WHITE,B,31053.0
182-D-2988,2018-07-21,2018,7,DUBLIN,AUDI,A6,ESTATE,BLUE,C,73412.0
191-G-3377,2019-01-14,2019,1,GALWAY,MAZDA,CX-5,SUV,RED,B,38387.0
202-G-1237,2020-07-27,2020,7,GALWAY,OPEL,CROSSLAND X,SUV,BLUE,A,24659.0
201-D-343,2018-02-16,2018,2,DUBLIN,FORD,FOCUS,ESTATE,WHITE,A,42299.0
191-D-2666,2019-02-19,2019,2,GALWAY,MAZDA,MAZDA6,SALOON,WHITE,B,46584.0
192-D-2703,2019-07-09,2019,9,DUBLIN,MAZDA,MAZDA3,SALOON,SILVER,B,35916.0
191-C-3197,2019-01-24,2019,1,GALWAY,TOYOTA,YARIS,HATCHBACK,RED,A,19992.0
201-L-3732,2020-03-13,2020,3,LIMERICK,MAZDA,MAZDA6,ESTATE,WHITE,B,37929.0
202-C-2221,2019-07-27,2019,7,CORK,MAZDA,MAZDA3,HATCHBACK,SILVER,B,33518.0
201-D-1771,2019-12-01,2019,1,DUBLIN,MAZDA,CX-30,SUV,WHITE,B,36095.0
201-W-2072,2020-01-22,2020,1,GALWAY,MAZDA,MAZDA3,SALOON,RED,B,35722.0
192-C-3547,2019-02-07,2019,7,CORK,MAZDA,MAZDA3,HATCHBACK,BLUE,B,32890.0
201-W-4714,2018-03-22,2018,3,WATERFORD,BMW,3 SERIES,ESTATE,WHITE,B,45071.0
191-C-2123,2019-02-20,2019,2,CORK,FORD,KUGA,SUV,BLUE,B,37420.0
201-G-2628,2019-03-02,2019,2,GALWAY,AUDI,Q7,SUV,BLUE,D,92449.0
181-C-3802,2018-05-01,2018,1,CORK,MAZDA,MAZDA3,HATCHBACK,SILVER,B,29304.0
192-D-3451,2019-11-16,2019,11,DUBLIN,TOYOTA,YARIS,HATCHBACK,WHITE,A,19283.0
191-C-455,2019-09-01,2019,1,GALWAY,OPEL,CORSA,HATCHBACK,ORANGE,A,22951.0
202-C-2396,2020-08-23,2020,8,GALWAY,FORD,FOCUS,HATCHBACK,WHITE,A,37305.0
201-D-3833,2020-07-03,2020,3,GALWAY,AUDI,Q3,SUV,RED,B,48869.0
192-L-1185,2019-01-07,2019,7,LIMERICK,TOYOTA,CAMERY,SALOON,WHITE,B,41929.0
201-C-445,2020-05-20,2020,5,CORK,OPEL,ASTRA,ESTATE,RED,B,26464.0
201-D-3202,2018-11-02,2018,2,DUBLIN,BMW,7 SERIES,SALOON,WHITE,D,158502.0
181-C-1206,2018-01-26,2018,1,GALWAY,MAZDA,MAZDA3,SALOON,RED,B,31409.0
202-C-1329,2020-12-07,2020,7,GALWAY,MAZDA,CX-30,SUV,SILVER,B,36068.0
201-C-3741,2018-11-01,2018,1,CORK,OPEL,GRANDLAND X,SUV,WHITE,B,45299.0
181-D-868,2018-10-02,2018,2,GALWAY,OPEL,ASTRA,ESTATE,RED,B,28536.0
201-W-277,2020-12-02,2020,2,WATERFORD,FORD,FOCUS,ESTATE,WHITE,A,27028.0
201-C-3981,2020-02-16,2020,2,CORK,MAZDA,MAZDA6,ESTATE,WHITE,B,35136.0
201-D-2619,2020-01-13,2020,1,GALWAY,MERCEDES,A-CLASS,SALOON,BLUE,B,45844.0
201-D-1087,2018-01-20,2018,1,DUBLIN,OPEL,ASTRA,ESTATE,SILVER,B,25647.0
202-C-4718,2018-07-21,2018,7,CORK,TOYOTA,RAV4,SUV,RED,B,37725.0
182-D-2933,2018-07-15,2018,7,GALWAY,OPEL,GRANDLAND X,SUV,WHITE,B,51175.0
202-G-291,2020-08-16,2020,8,GALWAY,MERCEDES,A-CLASS,HATCHBACK,SILVER,B,35104.0
191-L-4533,2019-01-14,2019,1,LIMERICK,AUDI,Q3,SUV,BLUE,B,53421.0
202-D-4973,2020-10-09,2020,9,GALWAY,MAZDA,MAZDA6,ESTATE,SILVER,B,37139.0
201-D-3006,2018-03-23,2018,3,DUBLIN,AUDI,A6,SALOON,WHITE,C,72856.0
181-D-2190,2018-04-18,2018,4,GALWAY,BMW,3 SERIES,SALOON,BLUE,B,44163.0
201-G-1692,2020-01-25,2020,1,GALWAY,OPEL,ASTRA,HATCHBACK,RED,A,24738.0
201-G-1484,2020-01-17,2020,1,GALWAY,MAZDA,MAZDA3,SALOON,WHITE,B,31600.0
201-C-3455,2020-08-02,2020,2,CORK,MAZDA,MAZDA3,SALOON,SILVER,B,32878.0
191-D-2151,2019-04-03,2019,3,DUBLIN,FORD,FOCUS,ESTATE,BLUE,A,28026.0
182-D-1353,2018-10-07,2018,7,GALWAY,OPEL,INSIGNIA,HATCHBACK,RED,B,34863.0
201-L-2613,2020-01-16,2020,1,LIMERICK,MAZDA,MAZDA3,HATCHBACK,BLUE,B,30336.0
201-C-1459,2018-04-22,2018,4,CORK,FORD,MONDEO,HATCHBACK,WHITE,B,38222.0
202-D-3805,2018-01-08,2018,8,DUBLIN,TOYOTA,RAV4,SUV,WHITE,B,42386.0
202-G-2405,2020-12-07,2020,7,GALWAY,BMW,3 SERIES,HATCHBACK,WHITE,C,68519.0
181-C-4383,2018-01-24,2018,1,CORK,FORD,MONDEO,HATCHBACK,SILVER,B,31555.0
202-G-4671,2020-07-20,2020,7,GALWAY,BMW,3 SERIES,ESTATE,WHITE,B,58574.0
191-D-528,2019-11-01,2019,1,GALWAY,MERCEDES,C-CLASS,ESTATE,SILVER,B,61201.0
201-D-2942,2019-03-02,2019,2,DUBLIN,OPEL,INSIGNIA,HATCHBACK,SILVER,B,35367.0
201-D-2063,2020-01-14,2020,1,DUBLIN,AUDI,Q7,SUV,RED,D,118461.0
202-D-1039,2020-08-25,2020,8,GALWAY,TOYOTA,COROLLA,SALOON,RED,B,29938.0
192-G-3176,2019-09-09,2019,9,GALWAY,FORD,KUGA,SUV,WHITE,B,44757.0
181-D-3693,2018-03-01,2018,1,DUBLIN,AUDI,A6,SALOON,BLUE,C,60438.0
181-L-4118,2018-01-26,2018,1,LIMERICK,OPEL,ASTRA,ESTATE,RED,B,25415.0
201-D-2260,2020-01-25,2020,1,DUBLIN,MERCEDES,A-CLASS,SALOON,BLUE,B,56352.0
201-D-3094,2020-02-18,2020,2,GALWAY,OPEL,INSIGNIA,HATCHBACK,SILVER,B,38190.0
201-G-1778,2020-03-19,2020,3,GALWAY,MERCEDES,A-CLASS,SALOON,BLUE,B,37459.0
181-D-2926,2018-01-01,2018,1,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,WHITE,B,41907.0
181-D-2503,2018-01-14,2018,1,GALWAY,MAZDA,CX-30,SUV,RED,B,40871.0
201-G-2798,2019-01-17,2019,1,GALWAY,TOYOTA,PRIUS,HATCHBACK,WHITE,B,36971.0
181-D-2894,2018-01-20,2018,1,GALWAY,MERCEDES,GLC-CLASS,SUV,RED,C,64375.0
202-D-963,2020-02-07,2020,7,DUBLIN,MERCEDES,C-CLASS,ESTATE,WHITE,B,121703.0
201-D-550,2020-03-13,2020,3,DUBLIN,BMW,3 SERIES,ESTATE,WHITE,B,63156.0
191-D-2993,2019-01-27,2019,1,GALWAY,AUDI,A4,SALOON,RED,B,47429.0
201-L-3073,2020-04-03,2020,3,LIMERICK,OPEL,ASTRA,HATCHBACK,SILVER,A,24806.0
202-D-1004,2020-06-07,2020,7,DUBLIN,FORD,FIESTA,HATCHBACK,WHITE,A,26020.0
201-C-519,2020-05-20,2020,5,CORK,OPEL,CROSSLAND X,SUV,WHITE,A,27171.0
201-L-4921,2019-02-14,2019,2,LIMERICK,TOYOTA,PRIUS,HATCHBACK,WHITE,B,35626.0
201-D-1764,2020-01-22,2020,1,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,ORANGE,B,36333.0
181-D-3446,2018-03-04,2018,4,DUBLIN,FORD,FOCUS,ESTATE,RED,A,41099.0
201-D-3863,2020-06-02,2020,2,DUBLIN,FORD,FOCUS,ESTATE,SILVER,A,36127.0
202-D-396,2020-07-07,2020,7,DUBLIN,FORD,FOCUS,ESTATE,WHITE,A,25152.0
191-W-3081,2019-02-01,2019,1,GALWAY,FORD,MUSTANG,COUPE,RED,C,64015.0
182-G-3459,2018-01-07,2018,7,GALWAY,FORD,MONDEO,HATCHBACK,BLUE,B,33036.0
191-W-4957,2019-05-16,2019,5,WATERFORD,FORD,FOCUS,ESTATE,WHITE,A,29478.0
191-L-2193,2019-03-14,2019,3,LIMERICK,OPEL,GRANDLAND X,SUV,SILVER,B,46196.0
192-D-4063,2019-08-17,2019,8,DUBLIN,FORD,FIESTA,HATCHBACK,WHITE,A,22278.0
181-D-4431,2018-02-02,2018,2,DUBLIN,TOYOTA,RAV4,SUV,RED,B,36624.0
201-D-3720,2020-02-26,2020,2,DUBLIN,OPEL,CROSSLAND X,SUV,WHITE,A,22626.0
201-C-4907,2018-06-01,2018,1,CORK,BMW,X3,SUV,ORANGE,C,95636.0
182-C-3771,2018-08-16,2018,8,CORK,FORD,MONDEO,HATCHBACK,WHITE,B,36124.0
181-D-147,2018-01-14,2018,1,DUBLIN,BMW,5 SERIES,ESTATE,BLUE,C,76229.0
181-G-2346,2018-02-02,2018,2,GALWAY,MERCEDES,A-CLASS,HATCHBACK,RED,B,43099.0
202-D-2006,2020-05-07,2020,7,DUBLIN,AUDI,Q3,SUV,RED,B,40022.0
201-L-147,2020-08-01,2020,1,GALWAY,OPEL,CORSA,HATCHBACK,RED,A,19758.0
191-G-3792,2019-01-20,2019,1,GALWAY,FORD,FOCUS,HATCHBACK,BLUE,A,26558.0
191-C-4841,2019-06-03,2019,3,CORK,MERCEDES,A-CLASS,HATCHBACK,SILVER,B,46812.0
192-C-187,2019-10-07,2019,7,CORK,AUDI,A4,SALOON,SILVER,B,47073.0
191-W-45,2019-02-23,2019,2,WATERFORD,OPEL,ASTRA,HATCHBACK,WHITE,A,25030.0
202-L-2952,2020-07-26,2020,7,LIMERICK,BMW,5 SERIES,ESTATE,WHITE,C,74218.0
201-C-2744,2020-01-14,2020,1,GALWAY,BMW,7 SERIES,SALOON,SILVER,D,229938.0
181-G-369,2018-05-04,2018,4,GALWAY,MAZDA,MAZDA3,SALOON,WHITE,B,30248.0
202-C-4477,2018-07-13,2018,7,CORK,OPEL,ASTRA,HATCHBACK,ORANGE,A,31069.0
182-C-1645,2018-07-25,2018,7,CORK,TOYOTA,YARIS,HATCHBACK,WHITE,A,17115.0
