car_reg,purchase_date,county,make,model,type,colour,tax_band,price
182-L-4363,2018-Sep-08,,BMW,5 Series,Estate,Blue,C,69555
201-d-3569,03 Jan,DUBLIN,Toyota : Corolla,,Saloon,SILVER,2,30009
181-d-301,02 May,DUBLIN,Mercedes : C-Class,,Estate,BLUE,2,124499
XXX-X-1613,2019-02-19,Cork,BMW : 7 Series (Saloon),,,red,d,149611
XXX-X-2400,2019-02-09,Dublin,Ford : Kuga (SUV),,,blue,b,43552
181-W-814,2018-Feb-13,,mazda,CX-5,SUV,#FFA500,B,46122
201-C-4120,2020-May-09,,BMW,2 series,Coupe,White,B,120927
201-D-3359,2020-Jan-02,,toyota,COROLLA,Saloon,#FFFFFF,B,29603
192-D-4928,2019-Oct-22,,Audi,A6,Estate,Silver,C,61751
182-d-3050,15 Jul,DUBLIN,Mercedes : GLC-Class,,SUV,SILVER,3,119751
181-C-463,2018-Mar-24,,mazda,MAZDA6,Saloon,#FFFFFF,B,37173
XXX-X-3819,2020-02-12,Dublin,Audi : Q3 (SUV),,,orange,b,40608
181-D-4070,2018-Mar-05,,Toyota,Corolla,Saloon,Red,B,30963
181-C-4868,2018-Jan-05,Cork,bmw,3 series : saloon,,<colour>Blue</colour>,B,44246
182-d-3477,08 Aug,DUBLIN,Mercedes : A-Class,,Saloon,WHITE,2,51110
XXX-X-4627,2019-07-15,Cork,Opel : Crossland X (SUV),,,orange,a,26148
XXX-X-3038,2018-07-09,Limerick,Audi : A4 (Saloon),,,silver,b,49002
201-L-598,2020-Mar-05,,mazda,MAZDA3,Saloon,#FFFFFF,B,35737
202-c-2983,24 Jul,CORK,Audi : A4,,Estate,BLUE,2,43418
182-d-3968,03 Jul,DUBLIN,BMW : 3 Series,,Saloon,SILVER,2,42445
XXX-X-117,2020-03-15,Dublin,Audi : A6 (Saloon),,,white,c,80642
191-D-998,2019-Jan-03,,Ford,Focus,Hatchback,Silver,A,41406
182-D-953,2018-Jul-15,,Mercedes,A-Class,Saloon,Blue,B,34991
191-L-3310,2019-Jan-01,,bmw,3 SERIES,Saloon,#FFFFFF,B,69477
191-W-2591,2019-Jan-12,,toyota,COROLLA,Saloon,#FF0000,B,29037
191-L-4042,2019-Jan-19,,Opel,Corsa,Hatchback,Red,A,17556
202-d-4035,04 Jul,DUBLIN,Toyota : Yaris,,Hatchback,BLUE,1,17080
181-L-3395,2018-Jan-15,Limerick,mercedes,amg-gt : hatchback,,<colour>Silver</colour>,D,175597
201-L-3764,2020-Apr-10,Limerick,audi,a4 : estate,,<colour>Blue</colour>,B,43161
181-G-2452,2018-Feb-07,,Toyota,Prius,Hatchback,Red,B,34180
XXX-X-266,2020-01-03,Dublin,Mercedes : C-Class (Estate),,,blue,b,96244
181-d-54,15 Feb,DUBLIN,Audi : Q7,,SUV,WHITE,4,114602
181-G-1928,2018-Jun-12,Galway,bmw,5 series : estate,,<colour>White</colour>,C,69850
XXX-X-3307,2019-08-15,Cork,Opel : Grandland X (SUV),,,red,b,44166
191-D-337,2019-Feb-09,,Toyota,Yaris,Hatchback,Orange,A,16373
181-D-2371,2018-Apr-09,,Mazda,Mazda6,Saloon,White,B,44224
181-C-1501,2018-Mar-03,,Toyota,Rav4,SUV,Blue,B,44503
182-w-4822,10 Aug,WATERFORD,Opel : Crossland X,,SUV,WHITE,1,27032
191-d-4829,08 Mar,DUBLIN,Toyota : Corolla,,Hatchback,SILVER,2,27884
181-W-4110,2018-Jan-07,,bmw,3 SERIES,Hatchback,#C0C0C0,C,66974
XXX-X-17,2020-02-21,Cork,Opel : Corsa (Hatchback),,,white,a,19860
202-L-2661,2020-Jul-11,,Ford,Focus,Hatchback,Silver,A,27268
181-l-2874,21 Feb,LIMERICK,BMW : 2 series,,Coupe,WHITE,2,99815
191-C-543,2019-Apr-17,Cork,opel,astra : estate,,<colour>White</colour>,B,26871
181-L-146,2018-Mar-10,Limerick,opel,grandland x : suv,,<colour>Red</colour>,B,34116
XXX-X-573,2018-03-07,Dublin,Mazda : Mazda3 (Saloon),,,red,b,33055
191-D-993,2019-Feb-19,,Toyota,Corolla,Hatchback,Blue,B,30421
181-D-3385,2018-Jan-24,,toyota,CAMERY,Saloon,#FFFFFF,B,40064
XXX-X-78,2020-01-09,Dublin,Audi : Q3 (SUV),,,orange,b,46108
182-d-2530,22 Jul,DUBLIN,Opel : Corsa,,Hatchback,RED,1,24172
181-C-1749,2018-Mar-23,,Opel,Crossland X,SUV,Blue,A,23178
192-D-281,2019-Jul-16,,Toyota,Corolla,Saloon,Orange,B,31200
XXX-X-730,2020-01-11,Waterford,Opel : Crossland X (SUV),,,white,a,26622
202-C-252,2020-Aug-26,Cork,opel,crossland x : suv,,<colour>White</colour>,A,27520
191-C-4934,2019-Jan-09,Cork,mercedes,a-class : hatchback,,<colour>Blue</colour>,B,53014
XXX-X-1655,2020-09-27,Dublin,Ford : Focus (Estate),,,white,a,33662
181-w-2505,01 Mar,WATERFORD,Audi : A4,,Saloon,BLUE,2,48094
XXX-X-2449,2018-07-06,Cork,Mazda : Mazda3 (Saloon),,,red,b,32597
181-D-1873,2018-Jan-03,Dublin,mercedes,a-class : saloon,,<colour>Red</colour>,B,36801
182-d-2021,07 Jul,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,23177
201-D-3487,2020-Apr-17,,toyota,PRIUS,Hatchback,#FF0000,B,34026
XXX-X-711,2020-01-18,Cork,Mercedes : C-Class (Saloon),,,white,b,69009
XXX-X-1253,2020-07-27,Limerick,Audi : A6 (Estate),,,blue,c,82553
201-D-2915,2020-Jan-27,Dublin,ford,mondeo : saloon,,<colour>Orange</colour>,B,36970
182-G-2434,2018-Jul-22,,mercedes,C-CLASS,Saloon,#C0C0C0,B,59006
182-D-657,2018-Jul-11,Dublin,ford,fiesta : hatchback,,<colour>White</colour>,A,24570
191-D-3906,2019-Jan-23,Dublin,ford,fiesta : hatchback,,<colour>Red</colour>,A,22570
182-d-2777,26 Oct,DUBLIN,Toyota : Prius,,Hatchback,RED,2,35959
181-L-3710,2018-Jan-04,,Toyota,Rav4,SUV,Red,B,47919
201-c-3586,03 May,CORK,Opel : Astra,,Estate,SILVER,2,26441
201-w-3704,25 May,WATERFORD,Ford : Fiesta,,Hatchback,ORANGE,1,24423
191-C-4709,2019-Jan-27,,Ford,Focus,Estate,Silver,A,37655
191-D-3168,2019-Jan-01,,BMW,5 Series,Estate,Blue,C,73008
XXX-X-810,2019-02-15,Galway,Opel : Astra (Estate),,,white,b,26702
201-D-4628,2020-Mar-13,,BMW,3 Series,Estate,Blue,B,51462
191-D-4278,2019-Feb-07,Dublin,toyota,prius : hatchback,,<colour>Red</colour>,B,35112
182-W-4486,2018-Jul-08,Waterford,opel,astra : hatchback,,<colour>Red</colour>,A,30868
181-D-3914,2018-Jan-02,Dublin,mercedes,glc-class : suv,,<colour>Red</colour>,C,103187
201-W-1679,2020-Mar-19,,toyota,YARIS,Hatchback,#FFFFFF,A,18742
192-G-3677,2019-Sep-14,Galway,audi,a6 : estate,,<colour>Red</colour>,C,59167
XXX-X-3435,2018-07-05,Limerick,Toyota : Yaris (Hatchback),,,blue,a,18749
201-d-3791,21 Jan,DUBLIN,Mercedes : GLC-Class,,SUV,SILVER,3,91399
181-L-2896,2018-Apr-04,Limerick,mazda,mazda6 : estate,,<colour>Silver</colour>,B,42399
XXX-X-2240,2020-03-24,Dublin,Opel : Crossland X (SUV),,,white,a,22997
201-D-4271,2020-Jan-13,Dublin,mazda,cx-30 : suv,,<colour>Red</colour>,B,38725
181-L-530,2018-Jan-02,,Mazda,Mazda3,Saloon,Silver,B,35585
XXX-X-947,2019-07-03,Galway,Audi : A6 (Saloon),,,orange,c,75973
182-D-3928,2018-Aug-08,Dublin,bmw,x3 : suv,,<colour>White</colour>,C,103158
191-D-4420,2019-Apr-22,,ford,FIESTA,Hatchback,#FFFFFF,A,29061
182-c-2063,15 Jul,CORK,Mazda : Mazda6,,Saloon,WHITE,2,40975
181-l-4189,25 Feb,LIMERICK,Toyota : Yaris,,Hatchback,RED,1,18925
192-c-328,14 Aug,CORK,Mercedes : C-Class,,Estate,RED,2,103355
191-D-1401,2019-Feb-12,,Mazda,CX-5,SUV,Blue,B,33438
201-d-1039,14 May,DUBLIN,Toyota : Corolla,,Saloon,SILVER,2,28104
191-W-4931,2019-Jan-18,,opel,ASTRA,Hatchback,#FF0000,A,29566
182-d-2923,18 Jul,DUBLIN,Ford : Mondeo,,Hatchback,SILVER,2,38348
XXX-X-4279,2020-02-17,Waterford,Mercedes : C-Class (Estate),,,blue,b,46825
201-w-4922,10 Mar,WATERFORD,Toyota : Prius,,Hatchback,SILVER,2,35504
191-c-155,04 Mar,CORK,BMW : X3,,SUV,SILVER,3,64163
181-D-1165,2018-Jan-03,,toyota,PRIUS,Hatchback,#FFFFFF,B,35457
182-c-951,20 Jul,CORK,Mazda : CX-30,,SUV,SILVER,2,37100
181-W-3831,2018-Feb-14,,mazda,CX-5,SUV,#FFFFFF,B,45671
201-G-1165,2020-Feb-22,,bmw,2 SERIES,Coupe,#FF0000,B,87448
202-d-2268,19 Oct,DUBLIN,Mazda : CX-30,,SUV,RED,2,43112
191-D-3825,2019-Mar-04,,Opel,Corsa,Hatchback,Red,A,17524
201-D-4730,2020-Mar-14,,audi,A6,Saloon,#FFFFFF,C,85640
XXX-X-1653,2018-07-07,Dublin,Toyota : Corolla (Hatchback),,,white,b,31012
XXX-X-2593,2018-07-25,Dublin,Mazda : Mazda6 (Estate),,,red,b,37683
191-C-262,2019-Jun-04,,mercedes,A-CLASS,Saloon,#FFFFFF,B,57721
XXX-X-295,2018-02-17,Waterford,Mercedes : A-Class (Saloon),,,silver,b,60974
XXX-X-2555,2018-03-10,Waterford,Opel : Astra (Hatchback),,,silver,a,25870
191-d-886,26 Jan,DUBLIN,Ford : Fiesta,,Hatchback,BLUE,1,25748
181-c-233,17 Jan,CORK,Mazda : CX-30,,SUV,WHITE,2,37676
XXX-X-323,2018-01-26,Limerick,Ford : Mondeo (Saloon),,,blue,b,39167
192-d-1164,14 Aug,DUBLIN,BMW : 3 Series,,Estate,WHITE,2,45970
202-g-1748,03 Jul,GALWAY,Toyota : Corolla,,Hatchback,WHITE,2,27269
201-C-3890,2020-Feb-02,,Ford,Focus,Hatchback,Silver,A,35273
XXX-X-4142,2018-03-16,Galway,Toyota : Rav4 (SUV),,,white,b,46839
191-c-3802,07 Jan,CORK,Opel : Astra,,Hatchback,WHITE,1,32566
201-c-4407,09 Jan,CORK,Toyota : Prius,,Hatchback,WHITE,2,35156
XXX-X-4098,2019-02-04,Dublin,Audi : Q3 (SUV),,,silver,b,45538
191-d-556,18 Jan,DUBLIN,Opel : Astra,,Hatchback,WHITE,1,32457
XXX-X-1546,2020-01-01,Dublin,BMW : 3 Series (Saloon),,,blue,b,52984
181-w-3687,23 Jan,WATERFORD,Opel : Crossland X,,SUV,RED,1,25878
191-l-3709,19 Mar,LIMERICK,Ford : Mondeo,,Hatchback,WHITE,2,36482
XXX-X-4348,2018-01-06,Waterford,Mazda : Mazda3 (Saloon),,,white,b,31112
192-d-659,06 Aug,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,42914
192-D-1324,2019-Jul-09,Dublin,audi,a6 : saloon,,<colour>Red</colour>,C,84697
XXX-X-1136,2020-04-05,Cork,Mazda : CX-5 (SUV),,,orange,b,44385
191-l-3305,02 Mar,LIMERICK,BMW : 7 Series,,Saloon,RED,4,101133
182-c-1572,17 Jul,CORK,BMW : 3 Series,,Saloon,BLUE,2,50915
182-D-355,2018-Aug-08,,Opel,Insignia,Hatchback,Red,B,30140
181-w-4492,02 Feb,WATERFORD,Mazda : CX-30,,SUV,WHITE,2,36256
201-D-322,2020-Jan-01,,Mercedes,A-Class,Saloon,White,B,45243
192-D-4058,2019-Jul-21,,BMW,X3,SUV,White,C,93525
182-d-4673,16 Jul,DUBLIN,Opel : Crossland X,,SUV,RED,1,22187
XXX-X-3618,2018-03-12,Dublin,Ford : Fiesta (Hatchback),,,white,a,28324
201-L-340,2020-Feb-12,,Audi,Q3,SUV,Blue,B,49509
XXX-X-3715,2018-03-09,Limerick,Opel : Crossland X (SUV),,,red,a,22814
201-l-1491,04 Jan,LIMERICK,Mazda : Mazda6,,Saloon,BLUE,2,40877
191-C-2414,2019-Jan-04,,Audi,Q3,SUV,Silver,B,44855
XXX-X-2651,2018-07-18,Dublin,Opel : Astra (Hatchback),,,white,a,28785
XXX-X-3673,2019-07-18,Cork,Mazda : CX-30 (SUV),,,white,b,35320
181-D-3561,2018-Jan-26,,Ford,Fiesta,Hatchback,Orange,A,19320
201-W-2263,2020-Mar-16,,ford,KUGA,SUV,#FFFFFF,B,36109
201-L-55,2020-Apr-07,,toyota,RAV4,SUV,#C0C0C0,B,48579
191-W-720,2019-Feb-07,Waterford,opel,corsa : hatchback,,<colour>White</colour>,A,24702
202-G-2513,2020-Aug-21,,toyota,COROLLA,Saloon,#FF0000,B,30108
201-D-174,2020-Apr-13,,Toyota,Corolla,Saloon,Red,B,28743
181-g-3987,25 Jan,GALWAY,Ford : Mondeo,,Hatchback,WHITE,2,39537
201-C-1997,2020-Jan-04,,Mercedes,GLC-Class,SUV,White,C,51105
XXX-X-469,2020-01-13,Dublin,Toyota : Camery (Saloon),,,red,b,42569
201-d-3020,18 Jan,DUBLIN,Audi : A6,,Saloon,BLUE,3,67707
201-L-2276,2020-Feb-17,,audi,A4,Estate,#FF0000,B,42043
181-L-1120,2018-Mar-27,Limerick,opel,corsa : hatchback,,<colour>White</colour>,A,21641
181-d-4150,15 Jan,DUBLIN,BMW : 7 Series,,Saloon,SILVER,4,120501
XXX-X-714,2020-03-27,Limerick,Audi : A4 (Saloon),,,blue,b,46124
201-l-4148,22 Jan,LIMERICK,BMW : 5 Series,,Estate,RED,3,58960
182-D-1832,2018-Sep-01,,Ford,Fiesta,Hatchback,White,A,24873
XXX-X-945,2019-01-01,Dublin,Mercedes : A-Class (Hatchback),,,white,b,52429
182-c-1529,24 Jul,CORK,Toyota : Prius,,Hatchback,RED,2,34429
191-D-2989,2019-Jan-16,Dublin,opel,insignia : hatchback,,<colour>White</colour>,B,36934
202-d-3502,03 Oct,DUBLIN,Mercedes : C-Class,,Saloon,BLUE,2,80378
XXX-X-2553,2018-07-08,Dublin,Ford : Fiesta (Hatchback),,,red,a,21222
192-D-4087,2019-Sep-22,,BMW,2 series,Coupe,White,B,112157
XXX-X-2002,2020-07-23,Waterford,Mercedes : A-Class (Hatchback),,,orange,b,58674
191-G-583,2019-Apr-15,,toyota,RAV4,SUV,#FFFFFF,B,36317
202-G-2833,2020-Jul-06,Galway,ford,focus : hatchback,,<colour>Silver</colour>,A,33248
192-D-3541,2019-Jul-12,,bmw,7 SERIES,Saloon,#FFFFFF,D,236150
192-L-527,2019-Jul-08,,Ford,Fiesta,Hatchback,Silver,A,25084
182-D-1523,2018-Oct-20,,mazda,CX-5,SUV,#0000FF,B,34785
201-D-3899,2020-Jan-22,,Mazda,Mazda3,Hatchback,Blue,B,35002
181-W-2174,2018-Mar-24,,Mercedes,C-Class,Estate,Red,B,83694
182-D-1369,2018-Jul-16,,mazda,CX-5,SUV,#FF0000,B,45841
202-G-4250,2020-Jul-22,,BMW,3 Series,Estate,Red,B,67416
181-G-2280,2018-Feb-14,,Opel,Astra,Hatchback,Red,A,28895
202-C-2727,2020-Aug-09,,Mazda,Mazda3,Hatchback,Red,B,33329
201-d-3319,10 Mar,DUBLIN,Ford : Mustang,,Coupe,RED,3,48694
202-C-3605,2020-Jul-11,,bmw,X3,SUV,#C0C0C0,C,124145
191-D-4277,2019-Jan-02,Dublin,opel,grandland x : suv,,<colour>Red</colour>,B,53896
XXX-X-4406,2018-02-06,Dublin,Opel : Astra (Hatchback),,,silver,a,32561
201-W-2877,2020-Feb-02,Waterford,audi,a4 : saloon,,<colour>White</colour>,B,56628
202-L-1760,2020-Aug-02,Limerick,bmw,5 series : estate,,<colour>Silver</colour>,C,75147
XXX-X-2081,2018-03-14,Dublin,BMW : 3 Series (Estate),,,white,b,59109
191-G-735,2019-Mar-23,Galway,ford,mondeo : saloon,,<colour>White</colour>,B,34940
XXX-X-4793,2019-03-22,Galway,Toyota : Corolla (Saloon),,,white,b,29538
191-d-3197,19 Jan,DUBLIN,Toyota : Prius,,Hatchback,WHITE,2,35509
XXX-X-4134,2018-05-11,Waterford,Audi : A4 (Estate),,,white,b,53935
181-C-4759,2018-Mar-11,Cork,audi,q3 : suv,,<colour>Silver</colour>,B,53197
XXX-X-540,2018-01-06,Galway,Audi : A4 (Saloon),,,silver,b,43568
XXX-X-4832,2018-07-01,Galway,Toyota : Yaris (Hatchback),,,silver,a,18935
192-d-690,27 Nov,DUBLIN,Audi : A6,,Saloon,SILVER,3,60304
201-C-123,2020-Mar-19,,Mazda,Mazda3,Saloon,White,B,32551
181-C-3520,2018-Feb-03,,BMW,5 Series,Estate,White,C,74256
181-C-4408,2018-Jan-24,Cork,opel,crossland x : suv,,<colour>Red</colour>,A,27041
201-L-4681,2020-Feb-23,,BMW,2 series,Coupe,Blue,B,62273
181-g-2221,13 Jan,GALWAY,Toyota : Rav4,,SUV,SILVER,2,42968
XXX-X-3400,2020-03-27,Limerick,Toyota : Yaris (Hatchback),,,blue,a,17767
191-C-2416,2019-Jan-15,,BMW,3 Series,Hatchback,Blue,C,56936
181-L-2543,2018-Mar-10,,Opel,Insignia,Hatchback,Blue,B,35805
181-L-4880,2018-Jan-06,Limerick,opel,crossland x : suv,,<colour>Blue</colour>,A,27155
XXX-X-1264,2019-01-05,Dublin,BMW : 5 Series (Estate),,,red,c,63402
XXX-X-554,2019-06-02,Limerick,Opel : Grandland X (SUV),,,silver,b,50054
XXX-X-3966,2020-04-22,Limerick,Mercedes : A-Class (Hatchback),,,white,b,48888
192-l-967,14 Jul,LIMERICK,Audi : A4,,Estate,WHITE,2,48709
XXX-X-1873,2020-04-26,Cork,Opel : Insignia (Hatchback),,,red,b,36323
181-D-4578,2018-Feb-13,,Mazda,Mazda6,Estate,White,B,40433
XXX-X-2313,2018-03-09,Cork,Audi : A4 (Estate),,,silver,b,46482
191-C-2680,2019-Mar-03,Cork,ford,mondeo : saloon,,<colour>White</colour>,B,34222
202-C-389,2020-Jul-12,Cork,mercedes,c-class : estate,,<colour>Red</colour>,B,69372
191-C-4088,2019-Mar-10,,Ford,Focus,Estate,Blue,A,24574
201-c-1054,25 Jan,CORK,Ford : Kuga,,SUV,BLUE,2,40497
191-D-2013,2019-Feb-05,Dublin,bmw,3 series : estate,,<colour>Orange</colour>,B,70177
201-d-3861,26 Mar,DUBLIN,Ford : Focus,,Estate,BLUE,1,43985
181-D-1166,2018-Feb-22,,Mazda,Mazda6,Saloon,Blue,B,35898
192-C-1021,2019-Jul-19,,Audi,Q3,SUV,White,B,40680
192-D-4067,2019-Aug-02,,Toyota,Rav4,SUV,White,B,42254
XXX-X-4996,2018-08-18,Dublin,Mercedes : C-Class (Saloon),,,white,b,52988
191-d-1183,04 Jan,DUBLIN,Mercedes : A-Class,,Hatchback,BLUE,2,57336
201-D-1970,2020-Mar-11,Dublin,ford,focus : hatchback,,<colour>White</colour>,A,40645
XXX-X-4800,2019-07-16,Limerick,Opel : Astra (Estate),,,silver,b,25256
182-C-1310,2018-Jul-09,Cork,opel,grandland x : suv,,<colour>White</colour>,B,53370
201-C-4899,2020-Apr-01,,bmw,3 SERIES,Saloon,#C0C0C0,B,69391
201-D-3964,2020-Feb-01,,Toyota,Yaris,Hatchback,White,A,18540
XXX-X-2507,2019-01-15,Galway,Ford : Mondeo (Hatchback),,,white,b,33067
191-c-3651,08 Jan,CORK,Audi : A6,,Estate,RED,3,90909
181-D-420,2018-Feb-13,Dublin,opel,corsa : hatchback,,<colour>Red</colour>,A,21561
191-C-3344,2019-Jan-12,,Ford,Mondeo,Hatchback,White,B,34800
191-d-3796,13 Jan,DUBLIN,Toyota : Corolla,,Hatchback,BLUE,2,32602
191-W-4971,2019-Jan-14,,Audi,A6,Estate,White,C,94586
XXX-X-670,2020-03-17,Cork,Toyota : Corolla (Saloon),,,blue,b,30822
XXX-X-1861,2020-11-07,Cork,Opel : Corsa (Hatchback),,,red,a,23521
181-g-378,08 May,GALWAY,Opel : Crossland X,,SUV,WHITE,1,25555
191-G-3038,2019-Feb-15,,opel,CROSSLAND X,SUV,#FF0000,A,26946
XXX-X-3551,2018-10-05,Limerick,Opel : Corsa (Hatchback),,,silver,a,17535
181-G-2890,2018-Feb-18,,audi,A4,Saloon,#FF0000,B,56314
202-d-587,08 Jul,DUBLIN,Ford : Focus,,Hatchback,WHITE,1,27984
181-D-570,2018-Jan-24,,Toyota,Corolla,Hatchback,Blue,B,28186
201-G-3675,2020-Jan-10,,Opel,Grandland X,SUV,Blue,B,49058
201-L-359,2020-Mar-20,,toyota,YARIS,Hatchback,#0000FF,A,17912
192-d-2877,19 Jul,DUBLIN,Audi : A6,,Saloon,RED,3,82678
XXX-X-3754,2018-07-24,Waterford,Audi : Q3 (SUV),,,red,b,49921
201-D-352,2020-Feb-16,Dublin,ford,fiesta : hatchback,,<colour>Silver</colour>,A,28489
191-l-3838,17 Jan,LIMERICK,Toyota : Corolla,,Hatchback,WHITE,2,30115
XXX-X-765,2018-06-04,Galway,Ford : Mustang (Coupe),,,white,c,59759
191-d-4891,11 Mar,DUBLIN,Toyota : Rav4,,SUV,BLUE,2,41645
202-d-2889,03 Sep,DUBLIN,Mercedes : A-Class,,Hatchback,ORANGE,2,38453
191-L-1822,2019-Jan-04,,Opel,Crossland X,SUV,Red,A,24962
181-l-2160,11 Jan,LIMERICK,BMW : X3,,SUV,ORANGE,3,95052
191-G-3236,2019-Jan-06,,toyota,YARIS,Hatchback,#FF0000,A,16804
181-C-4184,2018-Feb-23,,Ford,Fiesta,Hatchback,Blue,A,27612
201-D-1136,2020-Jan-24,,Opel,Astra,Estate,Silver,B,28908
181-l-4113,27 Apr,LIMERICK,Ford : Mustang,,Coupe,WHITE,3,49954
191-C-2954,2019-Jan-16,,Mercedes,C-Class,Saloon,White,B,95202
182-D-2463,2018-Jul-20,Dublin,mazda,cx-5 : suv,,<colour>Silver</colour>,B,34724
192-w-3525,19 Jul,WATERFORD,Toyota : Corolla,,Saloon,RED,2,31321
191-D-358,2019-May-24,Dublin,audi,q3 : suv,,<colour>White</colour>,B,48068
XXX-X-4454,2019-07-12,Dublin,Ford : Mondeo (Saloon),,,white,b,40246
182-D-2695,2018-Jul-15,,Ford,Mondeo,Hatchback,White,B,35809
191-D-2113,2019-Mar-03,,opel,GRANDLAND X,SUV,#FFFFFF,B,51591
202-C-4850,2020-Jul-17,,Ford,Mondeo,Hatchback,White,B,31279
191-G-1646,2019-Mar-18,,Ford,Focus,Hatchback,Red,A,43242
XXX-X-1153,2020-07-17,Cork,Mazda : CX-30 (SUV),,,white,b,33077
192-G-230,2019-Jul-22,,BMW,3 Series,Saloon,Blue,B,49099
181-G-4545,2018-Jan-24,Galway,ford,fiesta : hatchback,,<colour>Red</colour>,A,23413
191-D-3825,2019-Apr-15,,Ford,Focus,Hatchback,Blue,A,30999
201-l-62,19 Jan,LIMERICK,Ford : Mondeo,,Saloon,BLUE,2,40789
191-G-279,2019-Mar-04,,mercedes,C-CLASS,Saloon,#FFFFFF,B,87732
202-w-1173,15 Jul,WATERFORD,Opel : Crossland X,,SUV,BLUE,1,24551
191-W-266,2019-Feb-25,,mercedes,C-CLASS,Estate,#FFFFFF,B,120638
XXX-X-4645,2020-01-27,Dublin,Toyota : Yaris (Hatchback),,,white,a,18635
XXX-X-62,2020-01-09,Dublin,Audi : A4 (Saloon),,,silver,b,52925
XXX-X-1745,2018-02-17,Dublin,Toyota : Corolla (Hatchback),,,white,b,32680
191-L-1549,2019-Jan-02,,Ford,Kuga,SUV,White,B,43534
201-L-4070,2020-Feb-23,Limerick,toyota,corolla : saloon,,<colour>Red</colour>,B,28358
182-D-288,2018-Jul-27,,bmw,3 SERIES,Saloon,#C0C0C0,B,46996
181-G-643,2018-Jan-03,,Ford,Fiesta,Hatchback,Blue,A,20664
181-C-2794,2018-Feb-18,Cork,bmw,x3 : suv,,<colour>Blue</colour>,C,120876
182-D-2290,2018-Jul-06,Dublin,mazda,mazda3 : saloon,,<colour>White</colour>,B,30623
201-g-531,02 Apr,GALWAY,Mazda : CX-5,,SUV,WHITE,2,45326
XXX-X-4019,2018-01-27,Dublin,Audi : A6 (Estate),,,silver,c,67369
182-c-835,27 Jul,CORK,Ford : Kuga,,SUV,WHITE,2,44690
XXX-X-4426,2020-07-21,Dublin,BMW : 3 Series (Saloon),,,white,b,71346
201-L-2726,2020-Mar-01,Limerick,mazda,mazda3 : saloon,,<colour>White</colour>,B,31549
202-d-2517,20 Jul,DUBLIN,Mercedes : GLC-Class,,SUV,RED,3,92870
201-g-2552,04 Mar,GALWAY,Mazda : CX-30,,SUV,SILVER,2,36655
201-L-3703,2020-Feb-09,Limerick,toyota,corolla : hatchback,,<colour>Blue</colour>,B,32068
181-G-604,2018-Feb-24,,BMW,2 series,Coupe,Blue,B,38450
191-C-2129,2019-Apr-27,,BMW,3 Series,Saloon,Silver,B,51060
201-l-201,11 Mar,LIMERICK,Ford : Mondeo,,Saloon,SILVER,2,38012
181-G-2972,2018-Mar-06,,Ford,Focus,Hatchback,Silver,A,27467
181-D-4794,2018-Jan-20,Dublin,mazda,mazda6 : estate,,<colour>White</colour>,B,43519
201-d-2014,13 Jan,DUBLIN,Audi : A4,,Saloon,BLUE,2,49433
192-l-185,14 Jul,LIMERICK,Mercedes : C-Class,,Saloon,BLUE,2,86531
201-L-4942,2020-Feb-21,,BMW,2 series,Coupe,Blue,B,46334
181-W-2523,2018-Jan-02,,Ford,Mondeo,Saloon,White,B,39398
202-G-4916,2020-Jul-20,,Mercedes,GLC-Class,SUV,White,C,79840
XXX-X-4810,2018-10-08,Limerick,Opel : Corsa (Hatchback),,,blue,a,24008
201-w-602,20 Mar,WATERFORD,Opel : Corsa,,Hatchback,BLUE,1,20325
XXX-X-4710,2018-03-15,Dublin,BMW : 7 Series (Saloon),,,blue,d,224466
XXX-X-4049,2019-01-13,Dublin,Opel : Corsa (Hatchback),,,blue,a,17673
201-D-4938,2020-Jan-03,,Toyota,Rav4,SUV,Orange,B,40160
XXX-X-4011,2019-07-12,Galway,Opel : Corsa (Hatchback),,,white,a,17636
XXX-X-954,2020-04-19,Dublin,Mazda : Mazda3 (Saloon),,,white,b,37544
191-C-3060,2019-Mar-23,Cork,opel,astra : estate,,<colour>Blue</colour>,B,26989
192-c-434,24 Jul,CORK,Ford : Mondeo,,Saloon,WHITE,2,34577
181-D-1676,2018-Jan-22,,audi,A4,Saloon,#FFFFFF,B,56746
192-L-4943,2019-Jul-20,Limerick,opel,astra : estate,,<colour>Silver</colour>,B,25229
181-d-2482,25 Mar,DUBLIN,Mazda : Mazda3,,Saloon,ORANGE,2,36822
191-D-3806,2019-Jan-12,,Toyota,Corolla,Saloon,Red,B,28128
182-C-2841,2018-Jul-04,,Toyota,Rav4,SUV,Silver,B,46276
202-D-1150,2020-Jul-16,,audi,A6,Saloon,#0000FF,C,83879
XXX-X-3610,2020-03-19,Limerick,Mazda : Mazda3 (Saloon),,,white,b,32667
XXX-X-3932,2020-01-20,Dublin,Toyota : Corolla (Saloon),,,white,b,29983
191-d-3898,25 May,DUBLIN,Mazda : Mazda3,,Hatchback,SILVER,2,31954
201-L-4405,2020-Jan-12,,toyota,COROLLA,Hatchback,#FFFFFF,B,33803
201-w-4176,25 Jan,WATERFORD,BMW : 3 Series,,Estate,SILVER,2,55019
181-C-1306,2018-Feb-23,,Ford,Mondeo,Saloon,Blue,B,39252
